hemma,borta,hemmamal,bortamal,publik,domare,datum,sasong
Helsingborg,Sandviken,2,1,4 122,John Andersson,1930-04-13,1929_1930
Göteborg,IFK Malmö,7,0,6 233,Axel Westerlund,1930-04-13,1929_1930
Elfsborg,Landskrona,3,2,3 986,Knut Lensing,1930-04-13,1929_1930
Gais,Sandviken,1,2,11 832,Frans Nilsson,1930-04-18,1929_1930
Örgryte,Norrköping,0,2,5 538,Otto Ohlsson,1930-04-20,1929_1930
Sleipner,Elfsborg,1,0,4 140,Elias Englund,1930-04-21,1929_1930
IFK Malmö,AIK,1,1,7 169,John Johansson,1930-04-21,1929_1930
Helsingborg,Gais,2,2,8 235,Gustaf Ekberg,1930-04-21,1929_1930
Göteborg,Stattena,8,0,9 445,Thore Ekström,1930-04-21,1929_1930
Gais,Norrköping,5,0,9 059,NA,1930-04-27,1929_1930
Landskrona,Helsingborg,3,2,6 989,David Andersson,1930-04-27,1929_1930
AIK,Sandviken,1,2,19 208,Gunnar Wenzel,1930-04-27,1929_1930
Sleipner,Stattena,3,1,4 308,Ivar Gustafsson,1930-04-27,1929_1930
Göteborg,Gais,4,0,16 990,Otto Ohlsson,1930-05-02,1929_1930
Örgryte,Helsingborg,1,3,17 840,Ragnar Bäckström,1930-05-04,1929_1930
Stattena,Gais,1,2,2 730,Axel Öberg,1930-05-04,1929_1930
Sandviken,AIK,2,1,7 776,Gösta Schelin,1930-05-04,1929_1930
Norrköping,IFK Malmö,2,4,4 450,Osborn Wenzel,1930-05-04,1929_1930
Landskrona,Sleipner,1,2,2 211,Gustav Thisell,1930-05-04,1929_1930
Elfsborg,Göteborg,0,2,5 685,Arthur Björklund,1930-05-04,1929_1930
IFK Malmö,Stattena,2,0,5 897,Harvid Abrahamsson,1930-05-09,1929_1930
Gais,Örgryte,1,0,7 444,Gustaf Ekberg,1930-05-09,1929_1930
Norrköping,Helsingborg,1,1,4 154,Knut Lensing,1930-05-11,1929_1930
Sandviken,Landskrona,2,2,2 974,Ivar Carlesson,1930-05-11,1929_1930
AIK,Örgryte,3,3,19 210,Erik Malmström,1930-05-11,1929_1930
Göteborg,Elfsborg,1,6,14 036,Elias Englund,1930-05-11,1929_1930
Norrköping,Sleipner,0,7,5 287,David Andersson,1930-05-14,1929_1930
Örgryte,Göteborg,3,1,11 666,Ivar Gustafsson,1930-05-16,1929_1930
Stattena,Landskrona,2,2,2 494,Gunnar Wenzel,1930-05-16,1929_1930
Sleipner,Sandviken,3,0,6 707,Carl Olsson,1930-05-18,1929_1930
Gais,AIK,1,1,11 442,Axel Westerlund,1930-05-18,1929_1930
Elfsborg,Stattena,2,1,3 974,John Björkström,1930-05-18,1929_1930
Helsingborg,IFK Malmö,2,3,7 944,John Johansson,1930-05-18,1929_1930
Örgryte,Elfsborg,4,1,7 836,Axel Öberg,1930-05-21,1929_1930
Örgryte,Sandviken,3,1,9 276,Arthur Björklund,1930-05-25,1929_1930
Stattena,Göteborg,1,8,2 552,Ragnar Bäckström,1930-05-25,1929_1930
Sleipner,Landskrona,3,1,5 392,John Andersson,1930-05-25,1929_1930
IFK Malmö,Helsingborg,0,3,12 700,Osborn Wenzel,1930-05-25,1929_1930
Elfsborg,Gais,0,1,4 335,Thore Ekström,1930-05-25,1929_1930
AIK,Norrköping,3,1,16 061,John Johansson,1930-05-25,1929_1930
Helsingborg,Stattena,7,0,4 127,Ivar Gustafsson,1930-05-28,1929_1930
Sandviken,Sleipner,1,3,1 489,NA,1930-05-29,1929_1930
Landskrona,IFK Malmö,9,2,3 147,Elias Englund,1930-05-29,1929_1930
Norrköping,Elfsborg,3,0,1 417,Erik Malmström,1930-05-29,1929_1930
Göteborg,AIK,3,1,13 005,Otto Ohlsson,1930-05-29,1929_1930
Stattena,Elfsborg,3,3,2 027,Knut Lensing,1930-06-01,1929_1930
Sleipner,Örgryte,2,0,6 875,Gustaf Ekberg,1930-06-01,1929_1930
Sandviken,Göteborg,0,1,3 626,Axel Bergqvist,1930-06-01,1929_1930
Landskrona,Norrköping,6,1,1 542,Sigfrid Benzer Halmstad,1930-06-01,1929_1930
Gais,Helsingborg,0,3,18 661,Ivar Gustafsson,1930-06-01,1929_1930
AIK,IFK Malmö,2,1,5 619,Carl Olsson,1930-06-01,1929_1930
Örgryte,IFK Malmö,1,2,5 803,Gösta Schelin,1930-08-03,1930_1931
Sandviken,Sleipner,3,1,2 408,Gustav Thisell,1930-08-03,1930_1931
Landskrona,Gais,2,1,2 140,Egron Lundgren,1930-08-03,1930_1931
Helsingborg,Redbergslid,1,2,4 701,Ivan Eklind,1930-08-03,1930_1931
IFK Eskilstuna,Göteborg,7,1,3 937,Erik Malmström,1930-08-03,1930_1931
Elfsborg,AIK,2,3,4 462,Carl Olsson,1930-08-03,1930_1931
Redbergslid,Gais,1,1,8 516,Gustav Thisell,1930-08-06,1930_1931
Örgryte,Göteborg,0,3,7 456,Otto Ohlsson,1930-08-08,1930_1931
Sandviken,Helsingborg,3,5,4 154,Arthur Andersson,1930-08-10,1930_1931
Redbergslid,AIK,0,3,13 849,Helmer Edlund,1930-08-10,1930_1931
Landskrona,Elfsborg,2,2,2 146,John Andersson,1930-08-10,1930_1931
IFK Eskilstuna,Sleipner,2,6,4 502,Sven Klang,1930-08-10,1930_1931
Gais,Örgryte,2,2,3 606,Ivar Gustafsson,1930-08-13,1930_1931
Göteborg,Redbergslid,1,1,9 912,Alfred Pärsson,1930-08-15,1930_1931
IFK Malmö,Sleipner,2,0,6 358,David Andersson,1930-08-17,1930_1931
Helsingborg,IFK Eskilstuna,2,3,4 967,Gunnar Wenzel,1930-08-17,1930_1931
Gais,Landskrona,5,3,6 756,Georg Johansson,1930-08-17,1930_1931
AIK,Sandviken,2,1,11 629,Knut Lensing,1930-08-17,1930_1931
Göteborg,Gais,0,5,5 664,Axel Öberg,1930-08-20,1930_1931
Redbergslid,Örgryte,1,6,10 421,Knut Lensing,1930-08-22,1930_1931
Sleipner,Helsingborg,1,2,8 084,John Johansson,1930-08-24,1930_1931
IFK Malmö,Örgryte,2,2,5 957,Arthur Björklund,1930-08-24,1930_1931
Göteborg,Sandviken,3,0,9 935,Axel Westerlund,1930-08-24,1930_1931
IFK Eskilstuna,AIK,4,2,7 736,Thore Ekström,1930-08-24,1930_1931
Elfsborg,Redbergslid,7,1,4 542,John Björkström,1930-08-24,1930_1931
Helsingborg,Landskrona,2,4,5 436,Axel Larsson,1930-08-27,1930_1931
Sleipner,Sandviken,3,3,5 530,Osborn Wenzel,1930-08-31,1930_1931
Landskrona,Redbergslid,4,2,2 375,Knut Lensing,1930-08-31,1930_1931
AIK,Gais,2,3,19 517,Axel Hult,1930-08-31,1930_1931
Örgryte,Elfsborg,2,1,9 558,Johan Nilsson,1930-08-31,1930_1931
IFK Malmö,Göteborg,3,1,7 303,Einar Delborn,1930-08-31,1930_1931
Sleipner,Gais,1,3,5 836,Ivar Carlesson,1930-09-07,1930_1931
Sandviken,AIK,3,4,4 625,Harvid Abrahamsson,1930-09-07,1930_1931
Redbergslid,IFK Eskilstuna,1,1,12 069,Egron Lundgren,1930-09-07,1930_1931
Landskrona,Örgryte,0,3,1 915,Elias Englund,1930-09-07,1930_1931
Göteborg,IFK Malmö,2,1,12 069,Helmer Edlund,1930-09-07,1930_1931
Elfsborg,Helsingborg,1,3,5 678,David Andersson,1930-09-07,1930_1931
Örgryte,Sandviken,6,2,9 665,Erik Malmström,1930-09-14,1930_1931
Redbergslid,Landskrona,0,1,9 665,John Andersson,1930-09-14,1930_1931
IFK Malmö,AIK,1,1,10 359,John Johansson,1930-09-14,1930_1931
Helsingborg,Elfsborg,2,2,4 990,Gustaf Ekberg,1930-09-14,1930_1931
IFK Eskilstuna,Gais,1,2,4 723,Ivar Gustafsson,1930-09-14,1930_1931
Sandviken,IFK Eskilstuna,0,4,1 816,Georg Wittboldt,1930-09-21,1930_1931
IFK Malmö,Landskrona,3,2,8 275,Gunnar Wenzel,1930-09-21,1930_1931
Helsingborg,AIK,3,2,8 501,Carl Olsson,1930-09-21,1930_1931
Göteborg,Sleipner,3,2,9 715,Otto Ohlsson,1930-09-21,1930_1931
Elfsborg,Örgryte,3,2,3 700,Ivar Lindell,1930-09-21,1930_1931
Sleipner,Elfsborg,6,1,3 983,Axel Hult,1930-10-05,1930_1931
Sandviken,Göteborg,1,2,2 795,Elias Englund,1930-10-05,1930_1931
Gais,Helsingborg,4,1,13 986,Gustav Thisell,1930-10-05,1930_1931
IFK Eskilstuna,IFK Malmö,2,0,4 568,Osborn Wenzel,1930-10-05,1930_1931
AIK,Landskrona,4,5,13 858,Helmer Edlund,1930-10-05,1930_1931
Örgryte,Helsingborg,1,4,15 419,Gustaf Ekberg,1930-10-12,1930_1931
Sandviken,Gais,3,5,2 831,Gösta Schelin,1930-10-12,1930_1931
Landskrona,IFK Malmö,2,3,5 177,Ivar Gustafsson,1930-10-12,1930_1931
IFK Eskilstuna,Redbergslid,1,2,3 976,Arthur Andersson,1930-10-12,1930_1931
Elfsborg,Göteborg,1,2,3 721,Erik Malmström,1930-10-12,1930_1931
AIK,Sleipner,3,2,16 921,Harvid Abrahamsson,1930-10-12,1930_1931
Redbergslid,Sleipner,1,0,8 477,Axel Larsson,1930-10-19,1930_1931
IFK Malmö,Gais,2,3,12 210,John Andersson,1930-10-19,1930_1931
Landskrona,IFK Eskilstuna,3,1,2 184,David Andersson,1930-10-19,1930_1931
Helsingborg,Örgryte,6,3,7 179,Elias Englund,1930-10-19,1930_1931
Elfsborg,Sandviken,0,3,3 270,John Johansson,1930-10-19,1930_1931
AIK,Göteborg,3,1,16 849,Otto Ohlsson,1930-10-19,1930_1931
Sleipner,Redbergslid,4,3,6 216,Gustav Thisell,1930-10-26,1930_1931
IFK Malmö,Helsingborg,1,0,11 141,Helmer Edlund,1930-10-26,1930_1931
Landskrona,Sandviken,2,1,2 069,Ivar Carlesson,1930-10-26,1930_1931
Göteborg,Elfsborg,4,0,7 765,Axel Hult,1930-10-26,1930_1931
IFK Eskilstuna,Örgryte,4,2,4 946,Axel Öberg,1930-10-26,1930_1931
Sleipner,IFK Eskilstuna,6,2,5 652,Ivan Eklind,1930-11-02,1930_1931
Gais,Elfsborg,6,0,4 240,Einar Delborn,1930-11-02,1930_1931
AIK,IFK Malmö,9,0,16 509,Gunnar Wenzel,1930-11-02,1930_1931
Redbergslid,IFK Malmö,3,3,7 666,Helmer Edlund,1931-03-29,1930_1931
Göteborg,IFK Eskilstuna,6,0,8 942,Ragnar Bäckström,1931-04-03,1930_1931
Gais,IFK Malmö,3,3,4 973,Knut Lensing,1931-04-05,1930_1931
Redbergslid,Sandviken,1,4,4 973,Elias Englund,1931-04-05,1930_1931
Örgryte,Landskrona,0,3,5 600,Gustav Thisell,1931-04-06,1930_1931
Helsingborg,Sleipner,4,1,4 585,John Johansson,1931-04-06,1930_1931
Elfsborg,IFK Eskilstuna,3,3,2 769,David Andersson,1931-04-06,1930_1931
Sleipner,Örgryte,1,1,5 152,Erik Malmström,1931-04-12,1930_1931
IFK Malmö,Sandviken,3,0,6 996,Osborn Wenzel,1931-04-12,1930_1931
IFK Eskilstuna,Helsingborg,1,2,5 402,Ivar Gustafsson,1931-04-12,1930_1931
Elfsborg,Landskrona,1,2,4 324,Gustaf Ekberg,1931-04-12,1930_1931
Gais,AIK,4,4,11 888,Helmer Edlund,1931-04-12,1930_1931
Helsingborg,Göteborg,0,0,6 359,John Andersson,1931-04-19,1930_1931
Gais,Sandviken,3,1,9 012,Axel Bergqvist,1931-04-19,1930_1931
AIK,Elfsborg,4,1,14 554,Harvid Abrahamsson,1931-04-19,1930_1931
Örgryte,AIK,1,1,11 720,Einar Delborn,1931-04-26,1930_1931
Sleipner,Göteborg,0,0,5 544,Knut Lensing,1931-04-26,1930_1931
Sandviken,Redbergslid,1,1,3 097,Gustav Thisell,1931-04-26,1930_1931
IFK Malmö,Elfsborg,2,1,5 481,Ivar Gustafsson,1931-04-26,1930_1931
Landskrona,Helsingborg,1,3,5 424,Carl Olsson,1931-04-26,1930_1931
Sleipner,Landskrona,5,2,6 231,Gunnar Wenzel,1931-05-01,1930_1931
Sleipner,AIK,2,5,8 661,John Johansson,1931-05-03,1930_1931
Sandviken,Örgryte,0,1,2 107,Elias Englund,1931-05-03,1930_1931
Göteborg,Helsingborg,1,0,20 050,Gustaf Ekberg,1931-05-03,1930_1931
IFK Eskilstuna,Landskrona,0,1,3 663,Ragnar Bäckström,1931-05-03,1930_1931
Elfsborg,IFK Malmö,3,2,3 014,Thore Ekström,1931-05-03,1930_1931
Örgryte,Redbergslid,3,1,4 264,Erik Malmström,1931-05-06,1930_1931
Gais,Göteborg,0,2,10 147,Ivar Gustafsson,1931-05-08,1930_1931
Örgryte,IFK Eskilstuna,4,2,7 554,Axel Hult,1931-05-10,1930_1931
Sandviken,Landskrona,2,4,2 698,Osborn Wenzel,1931-05-10,1930_1931
Redbergslid,Elfsborg,3,1,7 554,Otto Ohlsson,1931-05-10,1930_1931
AIK,Helsingborg,5,1,20 528,Carl Olsson,1931-05-10,1930_1931
Sandviken,IFK Malmö,3,0,2 141,Gösta Schelin,1931-05-14,1930_1931
Gais,Sleipner,5,1,2 333,Elias Englund,1931-05-14,1930_1931
IFK Eskilstuna,Elfsborg,2,3,3 048,Ivan Eklind,1931-05-14,1930_1931
AIK,Redbergslid,3,2,15 911,Axel Öberg,1931-05-14,1930_1931
Göteborg,Landskrona,2,1,10 166,Gustav Thisell,1931-05-17,1930_1931
AIK,Örgryte,1,1,16 721,Gösta Schelin,1931-05-17,1930_1931
Gais,IFK Eskilstuna,5,2,10 166,John Andersson,1931-05-17,1930_1931
Helsingborg,IFK Malmö,4,1,6 833,Helmer Edlund,1931-05-17,1930_1931
Elfsborg,Sleipner,4,1,4 444,Erik Malmström,1931-05-17,1930_1931
Redbergslid,Göteborg,1,6,6 601,Ragnar Bäckström,1931-05-20,1930_1931
Örgryte,Gais,0,2,5 039,Gustaf Ekberg,1931-05-22,1930_1931
Landskrona,AIK,1,3,5 401,Helmer Edlund,1931-05-25,1930_1931
Redbergslid,Helsingborg,1,5,8 089,Ivar Gustafsson,1931-05-25,1930_1931
Sleipner,IFK Malmö,5,2,5 303,David Andersson,1931-05-25,1930_1931
IFK Eskilstuna,Sandviken,0,2,3 825,Harvid Abrahamsson,1931-05-25,1930_1931
Göteborg,Örgryte,3,1,5 186,Ivan Eklind,1931-05-27,1930_1931
Gais,Redbergslid,2,1,4 552,Axel Hult,1931-05-29,1930_1931
Sandviken,Elfsborg,0,1,4 146,Axel Bergqvist,1931-05-31,1930_1931
IFK Malmö,IFK Eskilstuna,4,2,5 286,John Johansson,1931-05-31,1930_1931
Landskrona,Sleipner,0,3,1 814,John Andersson,1931-05-31,1930_1931
Helsingborg,Gais,1,2,7 718,Helmer Edlund,1931-05-31,1930_1931
Göteborg,AIK,2,2,14 531,Otto Ohlsson,1931-05-31,1930_1931
Örgryte,Sleipner,3,2,3 503,Ivar Gustafsson,1931-06-07,1930_1931
IFK Malmö,Redbergslid,2,6,7 736,Gustaf Ekberg,1931-06-07,1930_1931
Landskrona,Göteborg,2,3,1 395,Ivan Eklind,1931-06-07,1930_1931
Helsingborg,Sandviken,4,3,3 328,John Andersson,1931-06-07,1930_1931
Elfsborg,Gais,1,4,7 662,Einar Delborn,1931-06-07,1930_1931
AIK,IFK Eskilstuna,1,1,11 416,John Johansson,1931-06-07,1930_1931
Sleipner,IFK Malmö,4,0,4 336,Gustaf Ekberg,1931-08-02,1931_1932
Malmö,Göteborg,0,1,6 085,John Andersson,1931-08-02,1931_1932
Landskrona,Örgryte,3,7,2 405,Thore Ekström,1931-08-02,1931_1932
Hallstahamm,AIK,1,3,6 204,Harvid Abrahamsson,1931-08-02,1931_1932
Gais,IFK Eskilstuna,1,3,4 754,Erik Malmström,1931-08-02,1931_1932
Elfsborg,Helsingborg,1,0,3 678,John Johansson,1931-08-02,1931_1932
Göteborg,Gais,1,2,6 250,Ivar Gustafsson,1931-08-07,1931_1932
Örgryte,IFK Malmö,4,1,6 824,Elias Englund,1931-08-09,1931_1932
Sleipner,Elfsborg,2,3,5 485,Knut Lensing,1931-08-09,1931_1932
Malmö,AIK,2,4,6 641,Gunnar Wenzel,1931-08-09,1931_1932
Helsingborg,Hallstahamm,0,1,3 931,Carl Olsson,1931-08-09,1931_1932
IFK Eskilstuna,Landskrona,7,0,3 566,Ivan Eklind,1931-08-09,1931_1932
Malmö,Landskrona,6,1,6 044,Helmer Edlund,1931-08-12,1931_1932
Gais,Örgryte,2,2,7 178,Ragnar Bäckström,1931-08-14,1931_1932
AIK,IFK Eskilstuna,2,1,19 433,David Andersson,1931-08-14,1931_1932
IFK Malmö,Elfsborg,2,1,6 456,Einar Delborn,1931-08-16,1931_1932
Hallstahamm,Malmö,4,0,1 969,Gustav Thisell,1931-08-16,1931_1932
Göteborg,Sleipner,5,2,7 547,Axel Hult,1931-08-16,1931_1932
Helsingborg,IFK Malmö,2,2,4 015,Ivar Gustafsson,1931-08-19,1931_1932
Örgryte,Göteborg,0,1,10 674,Ivan Eklind,1931-08-21,1931_1932
IFK Malmö,Malmö,1,2,8 447,Knut Lensing,1931-08-23,1931_1932
Helsingborg,Örgryte,3,5,5 171,Gustaf Ekberg,1931-08-23,1931_1932
Hallstahamm,IFK Eskilstuna,3,4,3 500,Gösta Schelin,1931-08-23,1931_1932
Gais,Landskrona,2,0,5 215,Osborn Wenzel,1931-08-23,1931_1932
Elfsborg,AIK,1,2,6 537,Otto Ohlsson,1931-08-23,1931_1932
Landskrona,Helsingborg,1,0,3 108,Ragnar Bäckström,1931-08-26,1931_1932
Örgryte,Malmö,1,2,6 487,John Andersson,1931-08-30,1931_1932
Sleipner,Helsingborg,3,0,5 735,Carl Olsson,1931-08-30,1931_1932
IFK Malmö,AIK,1,1,6 131,John Johansson,1931-08-30,1931_1932
Hallstahamm,Landskrona,2,2,1 840,Elias Englund,1931-08-30,1931_1932
IFK Eskilstuna,Göteborg,1,0,6 920,Helmer Edlund,1931-08-30,1931_1932
Elfsborg,Gais,1,1,4 089,Erik Malmström,1931-08-30,1931_1932
IFK Malmö,Gais,2,2,6 502,Gustav Thisell,1931-09-06,1931_1932
Landskrona,Sleipner,0,0,2 308,David Andersson,1931-09-06,1931_1932
Göteborg,Elfsborg,4,1,8 534,Thore Ekström,1931-09-06,1931_1932
IFK Eskilstuna,Helsingborg,2,3,3 425,Ivan Eklind,1931-09-06,1931_1932
AIK,Hallstahamm,7,1,13 427,Axel Westerlund,1931-09-06,1931_1932
Sleipner,Örgryte,2,0,6 661,Ragnar Bäckström,1931-09-13,1931_1932
Malmö,IFK Eskilstuna,2,3,7 704,Harvid Abrahamsson,1931-09-13,1931_1932
Landskrona,IFK Malmö,4,2,2 698,Gunnar Wenzel,1931-09-13,1931_1932
Hallstahamm,Helsingborg,1,2,1 850,Ivan Eklind,1931-09-13,1931_1932
Gais,AIK,2,2,16 075,Helmer Edlund,1931-09-13,1931_1932
Elfsborg,Göteborg,2,3,4 628,Gustaf Ekberg,1931-09-13,1931_1932
Örgryte,Elfsborg,3,2,7 911,Erik Malmström,1931-09-20,1931_1932
Sleipner,Gais,2,2,6 853,Axel Hult,1931-09-20,1931_1932
IFK Malmö,Göteborg,1,5,6 679,John Andersson,1931-09-20,1931_1932
Landskrona,Hallstahamm,1,1,2 341,Einar Delborn,1931-09-20,1931_1932
Helsingborg,Malmö,5,2,5 309,Elias Englund,1931-09-20,1931_1932
IFK Eskilstuna,AIK,3,3,16 562,Carl Olsson,1931-09-20,1931_1932
Sleipner,Hallstahamm,1,1,4 910,Ivar Gustafsson,1931-09-27,1931_1932
Malmö,Gais,3,3,5 728,Thore Ekström,1931-10-04,1931_1932
Hallstahamm,Sleipner,0,2,1 980,Johan Åsblom,1931-10-04,1931_1932
Göteborg,Helsingborg,1,1,14 928,Ivan Eklind,1931-10-04,1931_1932
IFK Eskilstuna,IFK Malmö,0,1,3 594,Gustaf Ekberg,1931-10-04,1931_1932
Elfsborg,Landskrona,2,2,3 857,Gunnar Wenzel,1931-10-04,1931_1932
AIK,Örgryte,1,1,20 947,Otto Ohlsson,1931-10-04,1931_1932
IFK Malmö,IFK Eskilstuna,3,3,6 902,Osborn Wenzel,1931-10-11,1931_1932
Landskrona,Malmö,4,0,2 546,Oscar Wallander,1931-10-11,1931_1932
Helsingborg,Göteborg,5,1,6 558,Ivar Gustafsson,1931-10-11,1931_1932
Hallstahamm,Örgryte,2,2,4 321,Georg Wittboldt,1931-10-11,1931_1932
Gais,Sleipner,1,1,6 708,Knut Lensing,1931-10-11,1931_1932
AIK,Elfsborg,3,1,14 812,Harvid Abrahamsson,1931-10-11,1931_1932
Örgryte,Landskrona,5,2,8 430,Axel Westerlund,1931-10-18,1931_1932
Sleipner,Göteborg,1,1,9 811,John Andersson,1931-10-18,1931_1932
Malmö,Elfsborg,2,0,6 085,Sigfrid Benzer Halmstad,1931-10-18,1931_1932
IFK Eskilstuna,Gais,2,0,4 536,Erik Malmström,1931-10-18,1931_1932
AIK,IFK Malmö,3,2,15 381,John Johansson,1931-10-18,1931_1932
IFK Malmö,Örgryte,1,3,7 089,Elias Englund,1931-10-25,1931_1932
Landskrona,IFK Eskilstuna,5,0,2 077,Carl Olsson,1931-10-25,1931_1932
Helsingborg,Sleipner,3,2,4 735,David Andersson,1931-10-25,1931_1932
Hallstahamm,Gais,3,5,1 200,Osborn Wenzel,1931-10-25,1931_1932
Göteborg,AIK,2,1,21 580,Helmer Edlund,1931-10-25,1931_1932
Elfsborg,Malmö,3,3,2 718,Axel Bergqvist,1931-10-25,1931_1932
Malmö,Örgryte,4,5,6 110,Ivan Eklind,1931-11-01,1931_1932
Helsingborg,IFK Eskilstuna,2,1,5 292,Ragnar Bäckström,1931-11-01,1931_1932
Gais,Hallstahamm,2,0,4 366,Alfred Pärsson,1931-11-01,1931_1932
AIK,Göteborg,3,0,21 315,Axel Hult,1931-11-01,1931_1932
Elfsborg,Sleipner,1,0,2 554,Carl Olsson,1931-11-08,1931_1932
Göteborg,Landskrona,2,2,9 244,Helmer Edlund,1932-04-03,1931_1932
Gais,Elfsborg,2,1,9 244,Axel Hult,1932-04-03,1931_1932
Örgryte,Sleipner,4,1,5 072,Gustaf Ekberg,1932-04-10,1931_1932
Malmö,Helsingborg,3,5,6 883,Harvid Abrahamsson,1932-04-10,1931_1932
Göteborg,Hallstahamm,6,1,5 072,Erik Malmström,1932-04-10,1931_1932
IFK Malmö,Hallstahamm,2,2,6 204,David Andersson,1932-04-17,1931_1932
Landskrona,AIK,3,5,4 111,Gunnar Wenzel,1932-04-17,1931_1932
Gais,Malmö,3,0,6 857,Ivan Eklind,1932-04-17,1931_1932
IFK Eskilstuna,Sleipner,6,0,5 684,Gustav Thisell,1932-04-17,1931_1932
Elfsborg,Örgryte,3,3,5 762,Thore Ekström,1932-04-17,1931_1932
Örgryte,IFK Eskilstuna,3,2,11 187,Otto Ohlsson,1932-04-24,1931_1932
Malmö,Sleipner,2,4,7 116,John Johansson,1932-04-24,1931_1932
Landskrona,Gais,0,1,2 619,John Andersson,1932-04-24,1931_1932
Hallstahamm,Elfsborg,1,2,1 475,Ivar Gustafsson,1932-04-24,1931_1932
AIK,Helsingborg,2,0,21 376,Helmer Edlund,1932-04-24,1931_1932
Göteborg,Malmö,6,1,11 573,Sölve Flisberg,1932-05-01,1931_1932
Sleipner,IFK Eskilstuna,4,0,10 627,Harvid Abrahamsson,1932-05-01,1931_1932
Elfsborg,IFK Malmö,3,0,4 917,Ragnar Bäckström,1932-05-01,1931_1932
AIK,Landskrona,3,3,18 212,Knut Lensing,1932-05-01,1931_1932
Sleipner,AIK,1,3,14 540,Erik Malmström,1932-05-05,1931_1932
IFK Malmö,Landskrona,5,0,6 793,Gustaf Ekberg,1932-05-05,1931_1932
Gais,Helsingborg,4,2,7 915,Elias Englund,1932-05-05,1931_1932
IFK Eskilstuna,Malmö,3,3,3 234,Osborn Wenzel,1932-05-05,1931_1932
Elfsborg,Hallstahamm,4,0,3 414,Oscar Wallander,1932-05-05,1931_1932
Örgryte,Hallstahamm,6,0,9 675,Axel Hult,1932-05-08,1931_1932
Sleipner,Malmö,3,0,4 822,David Andersson,1932-05-08,1931_1932
Landskrona,Göteborg,0,0,2 237,Einar Delborn,1932-05-08,1931_1932
Helsingborg,AIK,1,1,12 226,Carl Olsson,1932-05-08,1931_1932
Gais,IFK Malmö,4,0,9 675,Thore Ekström,1932-05-08,1931_1932
IFK Eskilstuna,Elfsborg,0,0,3 577,Ivan Eklind,1932-05-08,1931_1932
Helsingborg,Landskrona,5,1,2 332,Ivar Gustafsson,1932-05-13,1931_1932
AIK,Sleipner,2,0,17 087,Otto Ohlsson,1932-05-13,1931_1932
Malmö,IFK Malmö,3,2,8 262,John Andersson,1932-05-13,1931_1932
Göteborg,Örgryte,1,4,11 473,Gustav Thisell,1932-05-13,1931_1932
Hallstahamm,IFK Malmö,2,2,2 397,Knut Lensing,1932-05-16,1931_1932
Landskrona,Elfsborg,0,2,2 250,Osborn Wenzel,1932-05-16,1931_1932
Helsingborg,Gais,3,2,5 508,Sölve Flisberg,1932-05-16,1931_1932
Göteborg,IFK Eskilstuna,2,4,7 655,Erik Malmström,1932-05-16,1931_1932
Örgryte,Gais,0,1,11 681,Otto Ohlsson,1932-05-20,1931_1932
IFK Malmö,Helsingborg,2,1,8 960,Harvid Abrahamsson,1932-05-22,1931_1932
Örgryte,AIK,1,1,20 571,Axel Hult,1932-05-22,1931_1932
IFK Eskilstuna,Hallstahamm,3,1,2 186,Elias Englund,1932-05-22,1931_1932
Gais,Göteborg,2,0,7 216,Ragnar Bäckström,1932-05-27,1931_1932
Hallstahamm,Göteborg,0,4,2 461,Gösta Pejne,1932-05-29,1931_1932
Elfsborg,IFK Eskilstuna,1,1,4 483,John Johansson,1932-05-29,1931_1932
Örgryte,Helsingborg,3,1,9 039,Thore Ekström,1932-05-29,1931_1932
IFK Malmö,Sleipner,0,5,7 818,Gustaf Ekberg,1932-05-29,1931_1932
AIK,Malmö,5,5,16 197,Gunnar Wenzel,1932-05-29,1931_1932
Sleipner,Landskrona,1,1,3 987,Osborn Wenzel,1932-06-05,1931_1932
Malmö,Hallstahamm,3,2,8 623,Carl Olsson,1932-06-05,1931_1932
Helsingborg,Elfsborg,1,3,3 606,John Andersson,1932-06-05,1931_1932
Göteborg,IFK Malmö,1,0,4 343,Knut Lensing,1932-06-05,1931_1932
IFK Eskilstuna,Örgryte,1,5,5 513,Helmer Edlund,1932-06-05,1931_1932
AIK,Gais,1,1,16 819,Otto Ohlsson,1932-06-05,1931_1932
Sleipner,Gais,2,6,5 335,Otto Ohlsson,1932-07-31,1932_1933
Sandviken,Malmö,2,0,3 160,Knut Lensing,1932-07-31,1932_1933
Landskrona,Örgryte,1,2,2 420,Helmer Edlund,1932-07-31,1932_1933
Halmia,AIK,3,7,11 690,Harvid Abrahamsson,1932-07-31,1932_1933
Göteborg,IFK Eskilstuna,4,0,7 567,Gustaf Ekberg,1932-07-31,1932_1933
Elfsborg,Helsingborg,2,4,4 533,Ivan Eklind,1932-07-31,1932_1933
Örgryte,Gais,0,2,6 319,Ragnar Bäckström,1932-08-05,1932_1933
Malmö,AIK,2,1,8 973,Carl Olsson,1932-08-07,1932_1933
Landskrona,Sleipner,0,3,2 304,Oscar Wallander,1932-08-07,1932_1933
Gais,Halmia,2,0,6 438,Erik Malmström,1932-08-07,1932_1933
IFK Eskilstuna,Göteborg,3,1,3 017,Elias Englund,1932-08-07,1932_1933
Elfsborg,Sandviken,2,0,3 537,Axel Hult,1932-08-07,1932_1933
Malmö,Helsingborg,4,2,8 219,Osborn Wenzel,1932-08-10,1932_1933
