"","Ranking","Player","Rating","Year","Month"
"54",54,"Ragger, Markus",2684,2019,10
"55",55,"Rodshtein, Maxim",2684,2019,10
"56",56,"McShane, Luke J",2682,2019,10
"57",57,"Jakovenko, Dmitry",2681,2019,10
"58",58,"Korobov, Anton",2679,2019,10
"59",59,"Wang, Yue",2677,2019,10
"60",60,"Areshchenko, Alexander",2675,2019,10
"61",61,"Ponomariov, Ruslan",2675,2019,10
"62",62,"Salem, A.R. Saleh",2675,2019,10
"63",63,"Sasikiran, Krishnan",2675,2019,10
"64",64,"Alekseenko, Kirill",2674,2019,10
"65",65,"Anton Guijarro, David",2674,2019,10
"66",66,"Kovalenko, Igor",2674,2019,10
"67",67,"Ni, Hua",2672,2019,10
"68",68,"Cori, Jorge",2671,2019,10
"69",69,"Bacrot, Etienne",2671,2019,10
"70",70,"Robson, Ray",2670,2019,10
"71",71,"Cheparinov, Ivan",2670,2019,10
"72",72,"Leko, Peter",2670,2019,10
"73",73,"Kryvoruchko, Yuriy",2669,2019,10
"74",74,"Berkes, Ferenc",2667,2019,10
"75",75,"Laznicka, Viktor",2667,2019,10
"76",76,"Saric, Ivan",2667,2019,10
"77",77,"Nyzhnyk, Illya",2665,2019,10
"78",78,"Shirov, Alexei",2664,2019,10
"79",79,"Fedoseev, Vladimir",2664,2019,10
"80",80,"Maghsoodloo, Parham",2664,2019,10
"81",81,"Eljanov, Pavel",2663,2019,10
"82",82,"Dreev, Aleksey",2662,2019,10
"83",83,"Malakhov, Vladimir",2662,2019,10
"84",84,"Sjugirov, Sanan",2662,2019,10
"85",85,"Kovalev, Vladislav",2661,2019,10
"86",86,"Guseinov, Gadir",2660,2019,10
"87",87,"Hou, Yifan",2659,2019,10
"88",88,"Morozevich, Alexander",2659,2019,10
"89",89,"Ganguly, Surya Shekhar",2658,2019,10
"90",90,"Nabaty, Tamir",2658,2019,10
"91",91,"Kasimdzhanov, Rustam",2657,2019,10
"92",92,"Lagarde, Maxime",2657,2019,10
"93",93,"Predke, Alexandr",2657,2019,10
"94",94,"Nisipeanu, Liviu-Dieter",2656,2019,10
"95",95,"Sarana, Alexey",2655,2019,10
"96",96,"Demchenko, Anton",2655,2019,10
"97",97,"Gledura, Benjamin",2654,2019,10
"98",98,"Movsesian, Sergei",2654,2019,10
"99",99,"Oparin, Grigoriy",2654,2019,10
"100",100,"Sevian, Samuel",2654,2019,10
"101",1,"Carlsen, Magnus",2876,2019,9
"102",2,"Caruana, Fabiano",2812,2019,9
"103",3,"Ding, Liren",2811,2019,9
"104",4,"Giri, Anish",2780,2019,9
"105",5,"Nepomniachtchi, Ian",2776,2019,9
"106",6,"Vachier-Lagrave, Maxime",2774,2019,9
"107",7,"Mamedyarov, Shakhriyar",2767,2019,9
"108",8,"So, Wesley",2767,2019,9
"109",9,"Anand, Viswanathan",2765,2019,9
"110",10,"Yu, Yangyi",2763,2019,9
"111",11,"Dominguez Perez, Leinier",2763,2019,9
"112",12,"Karjakin, Sergey",2760,2019,9
"113",13,"Grischuk, Alexander",2759,2019,9
"114",14,"Aronian, Levon",2758,2019,9
"115",15,"Radjabov, Teimour",2758,2019,9
"116",16,"Kramnik, Vladimir",2753,2019,9
"117",17,"Rapport, Richard",2752,2019,9
"118",18,"Artemiev, Vladislav",2746,2019,9
"119",19,"Harikrishna, Pentala",2746,2019,9
"120",20,"Nakamura, Hikaru",2745,2019,9
"121",21,"Andreikin, Dmitry",2741,2019,9
"122",22,"Wojtaszek, Radoslaw",2739,2019,9
"123",23,"Topalov, Veselin",2736,2019,9
"124",24,"Vitiugov, Nikita",2732,2019,9
"125",25,"Duda, Jan-Krzysztof",2730,2019,9
"126",26,"Svidler, Peter",2729,2019,9
"127",27,"Wang, Hao",2726,2019,9
"128",28,"Navara, David",2724,2019,9
"129",29,"Wei, Yi",2721,2019,9
"130",30,"Bu, Xiangzhi",2721,2019,9
"131",31,"Tomashevsky, Evgeny",2718,2019,9
"132",32,"Vidit, Santosh Gujrathi",2718,2019,9
"133",33,"Matlakov, Maxim",2716,2019,9
"134",34,"Le, Quang Liem",2708,2019,9
"135",35,"Xiong, Jeffery",2707,2019,9
"136",36,"Shankland, Sam",2705,2019,9
"137",37,"Firouzja, Alireza",2702,2019,9
"138",38,"Amin, Bassem",2699,2019,9
"139",39,"Dubov, Daniil",2699,2019,9
"140",40,"Adams, Michael",2694,2019,9
"141",41,"Howell, David W L",2694,2019,9
"142",42,"Inarkiev, Ernesto",2693,2019,9
"143",43,"Sadler, Matthew D",2692,2019,9
"144",44,"Grandelius, Nils",2691,2019,9
"145",45,"Sargissian, Gabriel",2690,2019,9
"146",46,"Jones, Gawain C B",2688,2019,9
"147",47,"Li, Chao b",2687,2019,9
"148",48,"Almasi, Zoltan",2687,2019,9
"149",49,"Gelfand, Boris",2686,2019,9
"150",50,"Ivanchuk, Vassily",2686,2019,9
"151",51,"Kamsky, Gata",2685,2019,9
"152",52,"Rausis, Igors",2685,2019,9
"153",53,"Vallejo Pons, Francisco",2684,2019,9
"154",54,"Rodshtein, Maxim",2684,2019,9
"155",55,"Ragger, Markus",2683,2019,9
"156",56,"McShane, Luke J",2682,2019,9
"157",57,"Jakovenko, Dmitry",2681,2019,9
"158",58,"Korobov, Anton",2679,2019,9
"159",59,"Wang, Yue",2677,2019,9
"160",60,"Cori, Jorge",2676,2019,9
"161",61,"Salem, A.R. Saleh",2675,2019,9
"162",62,"Areshchenko, Alexander",2675,2019,9
"163",63,"Ponomariov, Ruslan",2675,2019,9
"164",64,"Sasikiran, Krishnan",2675,2019,9
"165",65,"Anton Guijarro, David",2674,2019,9
"166",66,"Kovalenko, Igor",2674,2019,9
"167",67,"Ni, Hua",2672,2019,9
"168",68,"Shirov, Alexei",2671,2019,9
"169",69,"Alekseenko, Kirill",2671,2019,9
"170",70,"Bacrot, Etienne",2671,2019,9
"171",71,"Cheparinov, Ivan",2670,2019,9
"172",72,"Leko, Peter",2670,2019,9
"173",73,"Kryvoruchko, Yuriy",2669,2019,9
"174",74,"Saric, Ivan",2667,2019,9
"175",75,"Laznicka, Viktor",2667,2019,9
"176",76,"Berkes, Ferenc",2666,2019,9
"177",77,"Nyzhnyk, Illya",2665,2019,9
"178",78,"Maghsoodloo, Parham",2664,2019,9
"179",79,"Fedoseev, Vladimir",2664,2019,9
"180",80,"Eljanov, Pavel",2663,2019,9
"181",81,"Malakhov, Vladimir",2662,2019,9
"182",82,"Sjugirov, Sanan",2662,2019,9
"183",83,"Dreev, Aleksey",2661,2019,9
"184",84,"Kovalev, Vladislav",2661,2019,9
"185",85,"Piorun, Kacper",2660,2019,9
"186",86,"Hou, Yifan",2659,2019,9
"187",87,"Morozevich, Alexander",2659,2019,9
"188",88,"Ganguly, Surya Shekhar",2658,2019,9
"189",89,"Nabaty, Tamir",2658,2019,9
"190",90,"Lagarde, Maxime",2657,2019,9
"191",91,"Predke, Alexandr",2657,2019,9
"192",92,"Kasimdzhanov, Rustam",2657,2019,9
"193",93,"Nisipeanu, Liviu-Dieter",2656,2019,9
"194",94,"Demchenko, Anton",2655,2019,9
"195",95,"Sevian, Samuel",2654,2019,9
"196",96,"Gledura, Benjamin",2654,2019,9
"197",97,"Guseinov, Gadir",2654,2019,9
"198",98,"Movsesian, Sergei",2654,2019,9
"199",99,"Oparin, Grigoriy",2654,2019,9
"200",100,"Melkumyan, Hrant",2653,2019,9
"201",101,"Robson, Ray",2653,2019,9
"202",1,"Carlsen, Magnus",2882,2019,8
"203",2,"Caruana, Fabiano",2818,2019,8
"204",3,"Ding, Liren",2805,2019,8
"205",4,"Giri, Anish",2779,2019,8
"206",5,"Vachier-Lagrave, Maxime",2778,2019,8
"207",6,"So, Wesley",2776,2019,8
"208",7,"Nepomniachtchi, Ian",2774,2019,8
"209",8,"Aronian, Levon",2765,2019,8
"210",9,"Mamedyarov, Shakhriyar",2764,2019,8
"211",10,"Dominguez Perez, Leinier",2763,2019,8
"212",11,"Grischuk, Alexander",2759,2019,8
"213",12,"Radjabov, Teimour",2758,2019,8
"214",13,"Artemiev, Vladislav",2757,2019,8
"215",14,"Anand, Viswanathan",2756,2019,8
"216",15,"Kramnik, Vladimir",2753,2019,8
"217",16,"Yu, Yangyi",2752,2019,8
"218",17,"Karjakin, Sergey",2750,2019,8
"219",18,"Rapport, Richard",2747,2019,8
"220",19,"Nakamura, Hikaru",2743,2019,8
"221",20,"Andreikin, Dmitry",2743,2019,8
"222",21,"Wojtaszek, Radoslaw",2739,2019,8
"223",22,"Harikrishna, Pentala",2738,2019,8
"224",23,"Topalov, Veselin",2736,2019,8
"225",24,"Duda, Jan-Krzysztof",2730,2019,8
"226",25,"Svidler, Peter",2729,2019,8
"227",26,"Vitiugov, Nikita",2728,2019,8
"228",27,"Wei, Yi",2727,2019,8
"229",28,"Le, Quang Liem",2726,2019,8
"230",29,"Navara, David",2724,2019,8
"231",30,"Bu, Xiangzhi",2721,2019,8
"232",31,"Wang, Hao",2720,2019,8
"233",32,"Shankland, Sam",2713,2019,8
"234",33,"Matlakov, Maxim",2710,2019,8
"235",34,"Tomashevsky, Evgeny",2706,2019,8
"236",35,"Vidit, Santosh Gujrathi",2705,2019,8
"237",36,"Jakovenko, Dmitry",2704,2019,8
"238",37,"Xiong, Jeffery",2703,2019,8
"239",38,"Firouzja, Alireza",2702,2019,8
"240",39,"Dubov, Daniil",2699,2019,8
"241",40,"Li, Chao b",2697,2019,8
"242",41,"Howell, David W L",2697,2019,8
"243",42,"Amin, Bassem",2692,2019,8
"244",43,"Jones, Gawain C B",2692,2019,8
"245",44,"Sadler, Matthew D",2692,2019,8
"246",45,"Grandelius, Nils",2691,2019,8
"247",46,"Sargissian, Gabriel",2690,2019,8
"248",47,"Adams, Michael",2690,2019,8
"249",48,"Almasi, Zoltan",2687,2019,8
"250",49,"Ivanchuk, Vassily",2686,2019,8
"251",50,"Gelfand, Boris",2686,2019,8
"252",51,"Kryvoruchko, Yuriy",2686,2019,8
"253",52,"Cori, Jorge",2686,2019,8
"254",53,"Rausis, Igors",2685,2019,8
"255",54,"Rodshtein, Maxim",2684,2019,8
"256",55,"Wang, Yue",2683,2019,8
"257",56,"Ragger, Markus",2683,2019,8
"258",57,"Inarkiev, Ernesto",2682,2019,8
"259",58,"McShane, Luke J",2682,2019,8
"260",59,"Korobov, Anton",2679,2019,8
"261",60,"Vallejo Pons, Francisco",2678,2019,8
"262",61,"Anton Guijarro, David",2678,2019,8
"263",62,"Naiditsch, Arkadij",2675,2019,8
"264",63,"Areshchenko, Alexander",2675,2019,8
"265",64,"Ponomariov, Ruslan",2675,2019,8
"266",65,"Sasikiran, Krishnan",2675,2019,8
"267",66,"Leko, Peter",2674,2019,8
"268",67,"Nabaty, Tamir",2673,2019,8
"269",68,"Kamsky, Gata",2673,2019,8
"270",69,"Fedoseev, Vladimir",2671,2019,8
"271",70,"Bacrot, Etienne",2671,2019,8
"272",71,"Swiercz, Dariusz",2670,2019,8
"273",72,"Alekseenko, Kirill",2668,2019,8
"274",73,"Motylev, Alexander",2668,2019,8
"275",74,"Salem, A.R. Saleh",2668,2019,8
"276",75,"Ni, Hua",2668,2019,8
"277",76,"Laznicka, Viktor",2667,2019,8
"278",77,"Nyzhnyk, Illya",2666,2019,8
"279",78,"Berkes, Ferenc",2666,2019,8
"280",79,"Nisipeanu, Liviu-Dieter",2666,2019,8
"281",80,"Sevian, Samuel",2665,2019,8
"282",81,"Adhiban, B.",2665,2019,8
"283",82,"Cheparinov, Ivan",2663,2019,8
"284",83,"Eljanov, Pavel",2663,2019,8
"285",84,"Malakhov, Vladimir",2663,2019,8
"286",85,"Sjugirov, Sanan",2662,2019,8
"287",86,"Dreev, Aleksey",2662,2019,8
"288",87,"Melkumyan, Hrant",2661,2019,8
"289",88,"Saric, Ivan",2660,2019,8
"290",89,"Piorun, Kacper",2660,2019,8
"291",90,"Hou, Yifan",2659,2019,8
"292",91,"Morozevich, Alexander",2659,2019,8
"293",92,"Shirov, Alexei",2658,2019,8
"294",93,"Kasimdzhanov, Rustam",2657,2019,8
"295",94,"Maghsoodloo, Parham",2656,2019,8
"296",95,"Sarana, Alexey",2655,2019,8
"297",96,"Demchenko, Anton",2655,2019,8
"298",97,"Lenderman, Aleksandr",2654,2019,8
"299",98,"Movsesian, Sergei",2654,2019,8
"300",99,"Oparin, Grigoriy",2654,2019,8
"301",100,"Gledura, Benjamin",2654,2019,8
"302",101,"Guseinov, Gadir",2654,2019,8
"303",102,"Kovalenko, Igor",2654,2019,8
"304",1,"Carlsen, Magnus",2872,2019,7
"305",2,"Caruana, Fabiano",2819,2019,7
"306",3,"Ding, Liren",2812,2019,7
"307",4,"Giri, Anish",2779,2019,7
"308",5,"Vachier-Lagrave, Maxime",2775,2019,7
"309",6,"Nepomniachtchi, Ian",2775,2019,7
"310",7,"Grischuk, Alexander",2766,2019,7
"311",8,"Mamedyarov, Shakhriyar",2765,2019,7
"312",9,"Anand, Viswanathan",2764,2019,7
"313",10,"So, Wesley",2763,2019,7
"314",11,"Artemiev, Vladislav",2761,2019,7
"315",12,"Dominguez Perez, Leinier",2760,2019,7
"316",13,"Radjabov, Teimour",2759,2019,7
"317",14,"Aronian, Levon",2756,2019,7
"318",15,"Nakamura, Hikaru",2754,2019,7
"319",16,"Kramnik, Vladimir",2753,2019,7
"320",17,"Karjakin, Sergey",2748,2019,7
"321",18,"Topalov, Veselin",2740,2019,7
"322",19,"Wei, Yi",2737,2019,7
"323",20,"Svidler, Peter",2737,2019,7
"324",21,"Wojtaszek, Radoslaw",2737,2019,7
"325",22,"Yu, Yangyi",2736,2019,7
"326",23,"Rapport, Richard",2735,2019,7
"327",24,"Harikrishna, Pentala",2734,2019,7
"328",25,"Navara, David",2734,2019,7
"329",26,"Duda, Jan-Krzysztof",2729,2019,7
"330",27,"Andreikin, Dmitry",2727,2019,7
"331",28,"Vitiugov, Nikita",2727,2019,7
"332",29,"Wang, Hao",2725,2019,7
"333",30,"Bu, Xiangzhi",2722,2019,7
"334",31,"Le, Quang Liem",2713,2019,7
"335",32,"Shankland, Sam",2713,2019,7
"336",33,"Jakovenko, Dmitry",2711,2019,7
"337",34,"Amin, Bassem",2707,2019,7
"338",35,"Vidit, Santosh Gujrathi",2703,2019,7
"339",36,"Tomashevsky, Evgeny",2702,2019,7
"340",37,"Matlakov, Maxim",2701,2019,7
"341",38,"Dubov, Daniil",2700,2019,7
"342",39,"Howell, David W L",2697,2019,7
"343",40,"Wang, Yue",2694,2019,7
"344",41,"Inarkiev, Ernesto",2693,2019,7
"345",42,"Jones, Gawain C B",2692,2019,7
"346",43,"Sadler, Matthew D",2692,2019,7
"347",44,"Xiong, Jeffery",2691,2019,7
"348",45,"Li, Chao b",2691,2019,7
"349",46,"Grandelius, Nils",2691,2019,7
"350",47,"Kryvoruchko, Yuriy",2691,2019,7
"351",48,"Adams, Michael",2690,2019,7
"352",49,"McShane, Luke J",2688,2019,7
"353",50,"Korobov, Anton",2687,2019,7
"354",51,"Almasi, Zoltan",2687,2019,7
"355",52,"Vallejo Pons, Francisco",2687,2019,7
"356",53,"Rausis, Igors",2686,2019,7
"357",54,"Cori, Jorge",2686,2019,7
"358",55,"Firouzja, Alireza",2685,2019,7
"359",56,"Rodshtein, Maxim",2685,2019,7
"360",57,"Ivanchuk, Vassily",2684,2019,7
"361",58,"Ragger, Markus",2684,2019,7
"362",59,"Berkes, Ferenc",2681,2019,7
"363",60,"Fedoseev, Vladimir",2681,2019,7
"364",61,"Saric, Ivan",2681,2019,7
"365",62,"Naiditsch, Arkadij",2681,2019,7
"366",63,"Sargissian, Gabriel",2681,2019,7
"367",64,"Anton Guijarro, David",2678,2019,7
"368",65,"Nabaty, Tamir",2678,2019,7
"369",66,"Najer, Evgeniy",2678,2019,7
"370",67,"Gelfand, Boris",2676,2019,7
"371",68,"Sasikiran, Krishnan",2675,2019,7
"372",69,"Areshchenko, Alexander",2675,2019,7
"373",70,"Ponomariov, Ruslan",2675,2019,7
"374",71,"Leko, Peter",2674,2019,7
"375",72,"Kamsky, Gata",2673,2019,7
"376",73,"Nisipeanu, Liviu-Dieter",2672,2019,7
"377",74,"Salem, A.R. Saleh",2672,2019,7
"378",75,"Kuzubov, Yuriy",2671,2019,7
"379",76,"Bacrot, Etienne",2671,2019,7
"380",77,"Ni, Hua",2668,2019,7
"381",78,"Sevian, Samuel",2667,2019,7
"382",79,"Sjugirov, Sanan",2667,2019,7
"383",80,"Swiercz, Dariusz",2666,2019,7
"384",81,"Cheparinov, Ivan",2666,2019,7
"385",82,"Adhiban, B.",2665,2019,7
"386",83,"Demchenko, Anton",2665,2019,7
"387",84,"Malakhov, Vladimir",2665,2019,7
"388",85,"Bruzon Batista, Lazaro",2661,2019,7
"389",86,"Oparin, Grigoriy",2660,2019,7
"390",87,"Morozevich, Alexander",2659,2019,7
"391",88,"Hou, Yifan",2659,2019,7
"392",89,"Laznicka, Viktor",2658,2019,7
"393",90,"Melkumyan, Hrant",2658,2019,7
"394",91,"Shirov, Alexei",2658,2019,7
"395",92,"Nyzhnyk, Illya",2657,2019,7
"396",93,"Kasimdzhanov, Rustam",2657,2019,7
"397",94,"Maghsoodloo, Parham",2656,2019,7
"398",95,"Piorun, Kacper",2656,2019,7
"399",96,"Dreev, Aleksey",2655,2019,7
"400",97,"Eljanov, Pavel",2655,2019,7
"401",98,"Kovalenko, Igor",2654,2019,7
"402",99,"Gledura, Benjamin",2654,2019,7
"403",100,"Guseinov, Gadir",2654,2019,7
"404",101,"Motylev, Alexander",2654,2019,7
"405",1,"Carlsen, Magnus",2875,2019,6
"406",2,"Caruana, Fabiano",2819,2019,6
"407",3,"Ding, Liren",2805,2019,6
"408",4,"Vachier-Lagrave, Maxime",2779,2019,6
"409",5,"Giri, Anish",2779,2019,6
"410",6,"Grischuk, Alexander",2775,2019,6
"411",7,"Nepomniachtchi, Ian",2775,2019,6
"412",8,"Mamedyarov, Shakhriyar",2774,2019,6
"413",9,"Anand, Viswanathan",2767,2019,6
"414",10,"Artemiev, Vladislav",2761,2019,6
"415",11,"Dominguez Perez, Leinier",2760,2019,6
"416",12,"Radjabov, Teimour",2759,2019,6
"417",13,"Nakamura, Hikaru",2754,2019,6
"418",14,"So, Wesley",2754,2019,6
"419",15,"Kramnik, Vladimir",2753,2019,6
"420",16,"Aronian, Levon",2752,2019,6
"421",17,"Karjakin, Sergey",2748,2019,6
"422",18,"Wei, Yi",2741,2019,6
"423",19,"Topalov, Veselin",2740,2019,6
"424",20,"Yu, Yangyi",2738,2019,6
"425",21,"Svidler, Peter",2737,2019,6
"426",22,"Wojtaszek, Radoslaw",2737,2019,6
"427",23,"Wang, Hao",2737,2019,6
"428",24,"Rapport, Richard",2735,2019,6
"429",25,"Harikrishna, Pentala",2734,2019,6
"430",26,"Navara, David",2734,2019,6
"431",27,"Duda, Jan-Krzysztof",2729,2019,6
"432",28,"Bu, Xiangzhi",2729,2019,6
"433",29,"Vitiugov, Nikita",2727,2019,6
"434",30,"Andreikin, Dmitry",2727,2019,6
"435",31,"Shankland, Sam",2717,2019,6
"436",32,"Jones, Gawain C B",2709,2019,6
"437",33,"Amin, Bassem",2707,2019,6
"438",34,"Vidit, Santosh Gujrathi",2707,2019,6
"439",35,"Jakovenko, Dmitry",2704,2019,6
"440",36,"Tomashevsky, Evgeny",2702,2019,6
"441",37,"Matlakov, Maxim",2701,2019,6
"442",38,"Dubov, Daniil",2700,2019,6
"443",39,"Li, Chao b",2698,2019,6
"444",40,"Le, Quang Liem",2694,2019,6
"445",41,"Wang, Yue",2694,2019,6
"446",42,"Inarkiev, Ernesto",2693,2019,6
"447",43,"Howell, David W L",2692,2019,6
"448",44,"Sadler, Matthew D",2692,2019,6
"449",45,"Ivanchuk, Vassily",2691,2019,6
"450",46,"Grandelius, Nils",2691,2019,6
"451",47,"Kryvoruchko, Yuriy",2691,2019,6
"452",48,"Adams, Michael",2690,2019,6
"453",49,"McShane, Luke J",2688,2019,6
"454",50,"Vallejo Pons, Francisco",2687,2019,6
"455",51,"Almasi, Zoltan",2687,2019,6
"456",52,"Korobov, Anton",2687,2019,6
"457",53,"Cori, Jorge",2686,2019,6
"458",54,"Rodshtein, Maxim",2685,2019,6
"459",55,"Ragger, Markus",2684,2019,6
"460",56,"Xiong, Jeffery",2684,2019,6
"461",57,"Firouzja, Alireza",2682,2019,6
"462",58,"Naiditsch, Arkadij",2681,2019,6
"463",59,"Sargissian, Gabriel",2681,2019,6
"464",60,"Saric, Ivan",2680,2019,6
"465",61,"Fedoseev, Vladimir",2680,2019,6
"466",62,"Anton Guijarro, David",2678,2019,6
"467",63,"Najer, Evgeniy",2678,2019,6
"468",64,"Nabaty, Tamir",2678,2019,6
"469",65,"Sevian, Samuel",2677,2019,6
"470",66,"Adhiban, B.",2676,2019,6
"471",67,"Gelfand, Boris",2676,2019,6
"472",68,"Berkes, Ferenc",2675,2019,6
"473",69,"Areshchenko, Alexander",2675,2019,6
"474",70,"Ponomariov, Ruslan",2675,2019,6
"475",71,"Leko, Peter",2674,2019,6
"476",72,"Kamsky, Gata",2673,2019,6
"477",73,"Sasikiran, Krishnan",2673,2019,6
"478",74,"Salem, A.R. Saleh",2672,2019,6
"479",75,"Bacrot, Etienne",2671,2019,6
"480",76,"Kuzubov, Yuriy",2671,2019,6
"481",77,"Demchenko, Anton",2671,2019,6
"482",78,"Rausis, Igors",2669,2019,6
"483",79,"Ni, Hua",2668,2019,6
"484",80,"Swiercz, Dariusz",2667,2019,6
"485",81,"Sjugirov, Sanan",2667,2019,6
"486",82,"Nisipeanu, Liviu-Dieter",2667,2019,6
"487",83,"Cheparinov, Ivan",2666,2019,6
"488",84,"Malakhov, Vladimir",2665,2019,6
"489",85,"Maghsoodloo, Parham",2665,2019,6
"490",86,"Kovalev, Vladislav",2661,2019,6
"491",87,"Laznicka, Viktor",2660,2019,6
"492",88,"Hou, Yifan",2659,2019,6
"493",89,"Melkumyan, Hrant",2658,2019,6
"494",90,"Shirov, Alexei",2658,2019,6
"495",91,"Bruzon Batista, Lazaro",2657,2019,6
"496",92,"Kasimdzhanov, Rustam",2657,2019,6
"497",93,"Dreev, Aleksey",2657,2019,6
"498",94,"Piorun, Kacper",2656,2019,6
"499",95,"Eljanov, Pavel",2655,2019,6
"500",96,"Motylev, Alexander",2654,2019,6
"501",97,"Gledura, Benjamin",2654,2019,6
"502",98,"Guseinov, Gadir",2654,2019,6
"503",99,"Robson, Ray",2652,2019,6
"504",100,"Kovalenko, Igor",2651,2019,6
"505",1,"Carlsen, Magnus",2861,2019,5
"506",2,"Caruana, Fabiano",2816,2019,5
"507",3,"Ding, Liren",2805,2019,5
"508",4,"Giri, Anish",2787,2019,5
"509",5,"Mamedyarov, Shakhriyar",2781,2019,5
"510",6,"Vachier-Lagrave, Maxime",2780,2019,5
"511",7,"Anand, Viswanathan",2774,2019,5
"512",8,"Nepomniachtchi, Ian",2773,2019,5
"513",9,"Grischuk, Alexander",2772,2019,5
"514",10,"Aronian, Levon",2762,2019,5
"515",11,"Nakamura, Hikaru",2761,2019,5
"516",12,"Radjabov, Teimour",2759,2019,5
"517",13,"So, Wesley",2754,2019,5
"518",14,"Artemiev, Vladislav",2754,2019,5
"519",15,"Kramnik, Vladimir",2753,2019,5
"520",16,"Karjakin, Sergey",2752,2019,5
"521",17,"Dominguez Perez, Leinier",2750,2019,5
"522",18,"Topalov, Veselin",2740,2019,5
"523",19,"Yu, Yangyi",2739,2019,5
"524",20,"Svidler, Peter",2739,2019,5
"525",21,"Rapport, Richard",2736,2019,5
"526",22,"Wei, Yi",2736,2019,5
"527",23,"Wang, Hao",2735,2019,5
"528",24,"Vitiugov, Nikita",2734,2019,5
"529",25,"Harikrishna, Pentala",2730,2019,5
"530",26,"Bu, Xiangzhi",2729,2019,5
"531",27,"Navara, David",2728,2019,5
"532",28,"Duda, Jan-Krzysztof",2728,2019,5
"533",29,"Wojtaszek, Radoslaw",2724,2019,5
"534",30,"Andreikin, Dmitry",2722,2019,5
"535",31,"Shankland, Sam",2717,2019,5
"536",32,"Jakovenko, Dmitry",2708,2019,5
"537",33,"Vidit, Santosh Gujrathi",2707,2019,5
"538",34,"Le, Quang Liem",2704,2019,5
"539",35,"Amin, Bassem",2704,2019,5
"540",36,"Jones, Gawain C B",2702,2019,5
"541",37,"Tomashevsky, Evgeny",2702,2019,5
"542",38,"Adhiban, B.",2701,2019,5
"543",39,"Rodshtein, Maxim",2699,2019,5
"544",40,"Li, Chao b",2699,2019,5
"545",41,"Howell, David W L",2698,2019,5
"546",42,"Matlakov, Maxim",2697,2019,5
"547",43,"Saric, Ivan",2694,2019,5
"548",44,"Wang, Yue",2694,2019,5
"549",45,"Adams, Michael",2693,2019,5
"550",46,"Inarkiev, Ernesto",2691,2019,5
"551",47,"Kryvoruchko, Yuriy",2691,2019,5
"552",48,"Dubov, Daniil",2690,2019,5
"553",49,"Grandelius, Nils",2688,2019,5
"554",50,"Vallejo Pons, Francisco",2688,2019,5
"555",51,"Sadler, Matthew D",2688,2019,5
"556",52,"Korobov, Anton",2687,2019,5
